intitule_prod;prix_ht;prix_ttc;description_prod;lien_image_prod;publication_prod;stock_prod;moyenne_note_prod;seuil_alerte_prod;alerte_prod;code_sous_cat
139;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
140;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
140;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
141;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
141;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
142;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
142;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
143;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
143;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
144;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
144;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
145;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
145;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
146;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
146;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
147;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
147;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
148;1000;1500;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
148;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
149;10000;15000;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
